model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Swallow-8B-bf16,bf16,4,F4-02,main,,20260905,0,machine,False,1.0,78,4676.1,results_swallow/raw/Swallow-8B-bf16/F4-02__main.txt,0.6176,0.0,0.0,format_error,購入,fallback,,,0,,,,,,0.0,1.0,,,1066,1075,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:08,81,,
Swallow-8B-bf16,bf16,5,F5-02,main,,20260905,0,machine,True,0.6774,56,3333.5,results_swallow/raw/Swallow-8B-bf16/F5-02__main.txt,0.2097,0.0323,0.0,lines,,none,C-0210,不許可,0,,True,,,,,,True,False,1047,1045,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:09,81,,
Swallow-8B-bf16,bf16,4,F4-04,main,,20260905,0,machine,False,1.0,83,4953.8,results_swallow/raw/Swallow-8B-bf16/F4-04__main.txt,0.5577,0.0,0.0,format_error,就寝,fallback,,,0,,,,,,0.0,1.0,,,1070,1073,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:09,81,,
Swallow-8B-bf16,bf16,4,F4-06,main,,20260905,0,machine,False,1.0,85,5507.1,results_swallow/raw/Swallow-8B-bf16/F4-06__main.txt,0.6168,0.0,0.0,format_error,,none,,,0,,,,,,0.0,0.3333,,,1073,1078,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:10,81,,
Swallow-8B-bf16,bf16,6,F6-01,full,plain,20260905,0,machine,False,0.8182,13,1524.8,results_swallow/raw/Swallow-8B-bf16/F6-01__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3066,3111,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:11,81,,
Swallow-8B-bf16,bf16,4,F4-05,main,,20260905,1,machine,True,0.8661,101,6686.2,results_swallow/raw/Swallow-8B-bf16/F4-05__main.txt,0.4016,0.0,0.0,lines,就寝,fallback,,,0,,,,,,0.0,1.0,,,997,1000,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:11,81,,
Swallow-8B-bf16,bf16,5,F5-03,main,,20260905,0,machine,True,0.7258,50,4065.5,results_swallow/raw/Swallow-8B-bf16/F5-03__main.txt,0.2419,0.0161,0.0,lines,購入,fallback,,不許可,0,,True,,,,,,True,False,1029,1028,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:12,81,,
Swallow-8B-bf16,bf16,5,F5-01,main,,20260905,0,machine,True,0.6122,88,6231.9,results_swallow/raw/Swallow-8B-bf16/F5-01__main.txt,0.1633,0.0408,0.0,lines,,none,C-0117,不許可,0,,True,,,,,,True,False,1046,1042,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:12,81,,
Swallow-8B-bf16,bf16,6,F6-02,full,plain,20260905,0,machine,False,0.8182,13,1452.0,results_swallow/raw/Swallow-8B-bf16/F6-02__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3070,3115,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:12,81,,
Swallow-8B-bf16,bf16,5,F5-04,main,,20260905,0,machine,True,0.7069,48,4199.7,results_swallow/raw/Swallow-8B-bf16/F5-04__main.txt,0.2069,0.0172,0.0,lines,購入,fallback,,不許可,0,,True,,,,,,True,False,1024,1028,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:12,81,,
Swallow-8B-bf16,bf16,6,F6-01,v0,plain,20260905,1,machine,True,0.8889,23,2251.4,results_swallow/raw/Swallow-8B-bf16/F6-01__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1833,1871,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:12,81,,
Swallow-8B-bf16,bf16,6,F6-01,v1,plain,20260905,1,machine,True,0.7297,34,3240.5,results_swallow/raw/Swallow-8B-bf16/F6-01__v1.txt,0.2703,0.027,0.0,lines,購入,field,C-0117,,0,,,,,,,,,,1317,1322,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:14,81,,
Swallow-8B-bf16,bf16,6,F6-02,v0,plain,20260905,1,machine,True,0.8889,23,2236.2,results_swallow/raw/Swallow-8B-bf16/F6-02__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1838,1880,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:14,81,,
Swallow-8B-bf16,bf16,5,F5-05,main,,20260905,1,machine,True,0.7308,65,6195.1,results_swallow/raw/Swallow-8B-bf16/F5-05__main.txt,0.2821,0.0128,0.0,lines,,none,,許可,0,,True,,,,,,True,True,1033,1032,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:15,81,,
Swallow-8B-bf16,bf16,6,F6-03,full,plain,20260905,1,machine,True,0.85,23,2541.6,results_swallow/raw/Swallow-8B-bf16/F6-03__full.txt,0.2,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,3060,3102,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:15,81,,
Swallow-8B-bf16,bf16,6,F6-03,v0,plain,20260905,1,machine,True,0.8889,23,2541.3,results_swallow/raw/Swallow-8B-bf16/F6-03__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1829,1866,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:15,81,,
Swallow-8B-bf16,bf16,6,F6-02,v1,plain,20260905,1,machine,True,0.7568,32,3324.0,results_swallow/raw/Swallow-8B-bf16/F6-02__v1.txt,0.3784,0.027,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1315,1322,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:15,81,,
Swallow-8B-bf16,bf16,6,F6-03,v1,plain,20260905,1,machine,True,0.8421,23,2543.3,results_swallow/raw/Swallow-8B-bf16/F6-03__v1.txt,0.2105,0.0,0.0,lines,休憩,field,なし,,0,,,,,,,,,,1313,1321,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:15,81,,
Swallow-8B-bf16,bf16,6,F6-04,full,plain,20260905,0,machine,False,0.8182,13,2283.9,results_swallow/raw/Swallow-8B-bf16/F6-04__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3062,3100,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:16,81,,
Swallow-8B-bf16,bf16,6,F6-05,full,plain,20260905,0,machine,False,0.8182,13,1902.4,results_swallow/raw/Swallow-8B-bf16/F6-05__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3057,3096,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:17,81,,
Swallow-8B-bf16,bf16,6,F6-05,v0,plain,20260905,1,machine,True,0.8636,24,2584.4,results_swallow/raw/Swallow-8B-bf16/F6-05__v0.txt,0.2727,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1824,1860,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:18,81,,
Swallow-8B-bf16,bf16,6,F6-04,v0,plain,20260905,1,machine,True,0.8824,34,3729.3,results_swallow/raw/Swallow-8B-bf16/F6-04__v0.txt,0.3235,0.0,0.0,lines,購入,field,なし,,0,,,,,,,,,,1831,1864,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:18,81,,
Swallow-8B-bf16,bf16,6,F6-04,v1,plain,20260905,1,machine,True,0.7568,32,3439.8,results_swallow/raw/Swallow-8B-bf16/F6-04__v1.txt,0.3784,0.027,0.0,lines,購入,field,C-0210,,0,,,,,,,,,,1317,1320,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:18,81,,
Swallow-8B-bf16,bf16,6,F6-06,v0,plain,20260905,1,machine,True,0.8889,23,2198.6,results_swallow/raw/Swallow-8B-bf16/F6-06__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1826,1863,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:18,81,,
Swallow-8B-bf16,bf16,6,F6-05,v1,plain,20260905,1,machine,True,0.9189,34,4071.4,results_swallow/raw/Swallow-8B-bf16/F6-05__v1.txt,0.3784,0.0,0.0,lines,移動,field,なし,,0,,,,,,,,,,1309,1318,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:19,81,,
Swallow-8B-bf16,bf16,6,F6-07,full,plain,20260905,0,machine,False,0.8182,14,2026.9,results_swallow/raw/Swallow-8B-bf16/F6-07__full.txt,0.2727,0.0,0.0,format_error,休憩,field,なし,,0,,,,,,,,,,3056,3101,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:20,81,,
Swallow-8B-bf16,bf16,6,F6-06,v1,plain,20260905,1,machine,True,0.9318,36,3397.2,results_swallow/raw/Swallow-8B-bf16/F6-06__v1.txt,0.3182,0.0,0.0,lines,移動,field,なし,,0,,,,,,,,,,1307,1314,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:20,81,,
Swallow-8B-bf16,bf16,5,F5-06,main,,20260905,0,machine,True,0.6519,115,11408.2,results_swallow/raw/Swallow-8B-bf16/F5-06__main.txt,0.237,0.0296,0.0,lines,,none,C-0075,許可,0,,True,,,,,,True,False,1036,1032,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:20,81,,
Swallow-8B-bf16,bf16,6,F6-07,v0,plain,20260905,1,machine,True,0.8889,23,2599.7,results_swallow/raw/Swallow-8B-bf16/F6-07__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1824,1862,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:20,81,,
Swallow-8B-bf16,bf16,6,F6-06,full,plain,20260905,1,machine,True,0.9531,54,6062.2,results_swallow/raw/Swallow-8B-bf16/F6-06__full.txt,0.4062,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,3050,3096,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:21,81,,
Swallow-8B-bf16,bf16,6,F6-08,v0,plain,20260905,1,machine,True,0.8889,23,2619.6,results_swallow/raw/Swallow-8B-bf16/F6-08__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1827,1863,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:22,81,,
Swallow-8B-bf16,bf16,6,F6-07,v1,plain,20260905,1,machine,True,0.7568,32,3723.4,results_swallow/raw/Swallow-8B-bf16/F6-07__v1.txt,0.3784,0.027,0.0,lines,購入,field,C-0012,,0,,,,,,,,,,1313,1318,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:22,81,,
Swallow-8B-bf16,bf16,6,F6-09,full,plain,20260905,0,machine,False,0.8182,13,2045.8,results_swallow/raw/Swallow-8B-bf16/F6-09__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3054,3094,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:22,81,,
Swallow-8B-bf16,bf16,6,F6-08,v1,plain,20260905,1,machine,True,0.9091,30,3416.0,results_swallow/raw/Swallow-8B-bf16/F6-08__v1.txt,0.4848,0.0,0.0,lines,購入,field,なし,,0,,,,,,,,,,1309,1318,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:23,81,,
Swallow-8B-bf16,bf16,6,F6-08,full,plain,20260905,1,machine,True,0.9375,43,4749.7,results_swallow/raw/Swallow-8B-bf16/F6-08__full.txt,0.3958,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,3052,3095,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:23,81,,
Swallow-8B-bf16,bf16,6,F6-11,full,plain,20260905,0,machine,False,0.8182,14,1508.8,results_swallow/raw/Swallow-8B-bf16/F6-11__full.txt,0.2727,0.0,0.0,format_error,休憩,field,なし,,0,,,,,,,,,,3056,3098,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:24,81,,
Swallow-8B-bf16,bf16,6,F6-09,v0,plain,20260905,1,machine,True,0.9167,31,3669.0,results_swallow/raw/Swallow-8B-bf16/F6-09__v0.txt,0.4444,0.0,0.0,lines,購入,field,なし,,0,,,,,,,,,,1827,1863,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:24,81,,
Swallow-8B-bf16,bf16,6,F6-10,v0,plain,20260905,1,machine,True,0.8889,23,2604.2,results_swallow/raw/Swallow-8B-bf16/F6-10__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1825,1864,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:24,81,,
Swallow-8B-bf16,bf16,6,F6-09,v1,plain,20260905,1,machine,True,0.9302,40,4760.4,results_swallow/raw/Swallow-8B-bf16/F6-09__v1.txt,0.4651,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1307,1315,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:25,81,,
Swallow-8B-bf16,bf16,6,F6-12,full,plain,20260905,0,machine,False,0.8182,13,1771.5,results_swallow/raw/Swallow-8B-bf16/F6-12__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3065,3104,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:26,81,,
Swallow-8B-bf16,bf16,6,F6-11,v0,plain,20260905,1,machine,True,0.8889,23,2600.2,results_swallow/raw/Swallow-8B-bf16/F6-11__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1830,1865,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:26,81,,
Swallow-8B-bf16,bf16,6,F6-10,full,plain,20260905,1,machine,True,0.9375,43,4943.7,results_swallow/raw/Swallow-8B-bf16/F6-10__full.txt,0.3958,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,3052,3097,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:26,81,,
Swallow-8B-bf16,bf16,6,F6-10,v1,plain,20260905,1,machine,True,0.9111,42,4887.4,results_swallow/raw/Swallow-8B-bf16/F6-10__v1.txt,0.3778,0.0,0.0,lines,購入,field,なし,,0,,,,,,,,,,1309,1320,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:27,81,,
Swallow-8B-bf16,bf16,6,F6-11,v1,plain,20260905,1,machine,True,0.7568,32,3911.1,results_swallow/raw/Swallow-8B-bf16/F6-11__v1.txt,0.3784,0.027,0.0,lines,購入,field,C-0030,,0,,,,,,,,,,1315,1322,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:27,81,,
Swallow-8B-bf16,bf16,6,F6-13,full,plain,20260905,0,machine,False,0.8182,13,1993.7,results_swallow/raw/Swallow-8B-bf16/F6-13__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3051,3095,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:27,81,,
Swallow-8B-bf16,bf16,6,F6-12,v0,plain,20260905,1,machine,True,0.8889,23,3150.1,results_swallow/raw/Swallow-8B-bf16/F6-12__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1838,1872,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:27,81,,
Swallow-8B-bf16,bf16,6,F6-14,full,plain,20260905,0,machine,False,0.8182,13,1954.6,results_swallow/raw/Swallow-8B-bf16/F6-14__full.txt,0.2727,0.0,0.0,format_error,待機,field,なし,,0,,,,,,,,,,3053,3095,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:28,81,,
Swallow-8B-bf16,bf16,6,F6-12,v1,plain,20260905,1,machine,True,0.7297,35,4124.0,results_swallow/raw/Swallow-8B-bf16/F6-12__v1.txt,0.2703,0.027,0.0,lines,購入,field,C-0075,,0,,,,,,,,,,1317,1323,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:28,81,,
Swallow-8B-bf16,bf16,6,F6-14,v0,plain,20260905,1,machine,True,0.8889,23,2585.6,results_swallow/raw/Swallow-8B-bf16/F6-14__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1823,1860,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:29,81,,
Swallow-8B-bf16,bf16,6,F6-15,v0,plain,20260905,1,machine,True,0.8889,23,2584.6,results_swallow/raw/Swallow-8B-bf16/F6-15__v0.txt,0.3333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1827,1865,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:30,81,,
Swallow-8B-bf16,bf16,6,F6-15,v1,plain,20260905,1,machine,True,0.8421,23,2091.5,results_swallow/raw/Swallow-8B-bf16/F6-15__v1.txt,0.2105,0.0,0.0,lines,休憩,field,なし,,0,,,,,,,,,,1314,1322,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:30,81,,
Swallow-8B-bf16,bf16,6,F6-13,v1,plain,20260905,1,machine,True,0.9286,41,4483.5,results_swallow/raw/Swallow-8B-bf16/F6-13__v1.txt,0.4286,0.0,0.0,lines,休憩,field,なし,,0,,,,,,,,,,1309,1319,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:30,81,,
Swallow-8B-bf16,bf16,6,F6-16,v0,mid,20260905,0,machine,False,0.4667,15,1736.8,results_swallow/raw/Swallow-8B-bf16/F6-16__v0.txt,0.0667,0.0667,0.0,format_error,購入,field,C-0117,,0,,,,,,,,,,1839,1869,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:31,81,,
Swallow-8B-bf16,bf16,6,F6-14,v1,plain,20260905,1,machine,True,0.7959,42,4309.7,results_swallow/raw/Swallow-8B-bf16/F6-14__v1.txt,0.3469,0.0204,0.0,lines,購入,field,C-0135,,0,,,,,,,,,,1309,1318,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:31,81,,
