model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Qwen3-8B-int8,int8,2,F2-02,main,,20260905,0,machine,True,0.8596,48,1152.6,raw/Qwen3-8B-int8/F2-02__main.txt,0.4561,0.0,0.0,lines,断る,field,,,1,money,True,True,False,,,,,,1136,1137,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,2,F2-04,main,,20260905,1,machine,True,0.907,45,991.1,raw/Qwen3-8B-int8/F2-04__main.txt,0.3953,0.0,0.0,lines,断る,field,,,0,,,True,False,False,,,,,1144,1146,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-08,main,,20260905,0,machine,True,0.8269,41,2089.3,raw/Qwen3-14B-int8/F1-08__main.txt,0.4808,0.0192,0.0,lines,会話,field,P-901,,0,,False,,,,,,,,1228,1226,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,2,F2-05,main,,20260905,1,machine,True,0.9184,46,1035.6,raw/Qwen3-8B-int8/F2-05__main.txt,0.4694,0.0,0.0,lines,断る,field,,,0,,True,True,True,,,,,,1148,1145,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,2,F2-03,main,,20260905,1,machine,True,0.9375,56,1239.8,raw/Qwen3-8B-int8/F2-03__main.txt,0.5,0.0,0.0,lines,断る,field,,,0,,True,True,True,,,,,,1167,1158,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-03,main,,20260905,0,machine,True,0.8077,23,486.8,raw/Qwen3-8B-int8/F3-03__main.txt,0.2692,0.0,0.0,lines,,none,,,0,,False,,,,,,,,251,248,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-04,main,,20260905,0,machine,True,0.8696,23,489.2,raw/Qwen3-8B-int8/F3-04__main.txt,0.0435,0.0,0.0,lines,,none,,,0,,False,,,,,,,,268,265,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-04,main,,20260905,1,machine,True,0.7442,44,2239.2,raw/Qwen3-14B-int8/F1-04__main.txt,0.3721,0.0233,0.0,lines,購入,field,C-0088,,0,,,,,False,,,,,1232,1232,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-05,main,,20260905,1,machine,True,0.9259,44,2239.0,raw/Qwen3-14B-int8/F1-05__main.txt,0.5185,0.0,0.0,lines,休憩,field,なし,,0,,,,,,,,,,1215,1211,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-03,main,,20260905,1,machine,True,0.9038,44,2240.4,raw/Qwen3-14B-int8/F1-03__main.txt,0.5385,0.0,0.0,lines,,none,なし,,0,,,,,,,,,,1231,1230,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,2,F2-06,main,,20260905,0,machine,True,0.9231,51,1119.6,raw/Qwen3-8B-int8/F2-06__main.txt,0.4231,0.0,0.0,lines,会話,field,,,0,,,False,True,,,,,,1156,1154,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-05,main,,20260905,0,machine,True,0.8095,22,534.5,raw/Qwen3-8B-int8/F3-05__main.txt,0.2381,0.0,0.0,lines,,none,,,0,,False,,,,,,,,263,262,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-06,main,,20260905,1,machine,True,0.8095,22,554.1,raw/Qwen3-8B-int8/F3-06__main.txt,0.2381,0.0,0.0,lines,,none,,,0,,True,,,,,,,,262,259,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-01,main,,20260905,0,machine,True,0.9167,52,2641.4,raw/Qwen3-14B-int8/F1-01__main.txt,0.45,0.0167,0.0,lines,購入,field,定食店A,,1,money,,,,,,,,,1233,1221,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-08,main,,20260905,0,machine,True,0.8182,21,553.8,raw/Qwen3-8B-int8/F3-08__main.txt,0.1364,0.0,0.0,lines,,none,,,0,,False,,,,,,,,251,250,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-10,main,,20260905,0,machine,True,0.8095,22,577.8,raw/Qwen3-8B-int8/F3-10__main.txt,0.2381,0.0,0.0,lines,,none,,,0,,False,,,,,,,,261,255,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-06,main,,20260905,0,machine,True,0.8214,56,2811.2,raw/Qwen3-14B-int8/F1-06__main.txt,0.3571,0.0179,0.0,lines,購入,field,C-0075,,1,slots,,,,,,,,,1244,1230,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-07,main,,20260905,0,machine,True,0.8276,30,770.4,raw/Qwen3-8B-int8/F3-07__main.txt,0.2414,0.0,0.0,lines,,none,,,0,,False,,,,,,,,252,246,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-14B-int8,int8,1,F1-02,main,,20260905,1,machine,True,0.8182,58,2843.5,raw/Qwen3-14B-int8/F1-02__main.txt,0.5091,0.0182,0.0,lines,購入,field,C-0121,,0,,,,,,,,,,1269,1255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,3,F3-09,main,,20260905,0,machine,True,0.8333,29,767.3,raw/Qwen3-8B-int8/F3-09__main.txt,0.1667,0.0,0.0,lines,,none,,,0,,False,,,,,,,,244,242,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:33,81,,
Qwen3-8B-int8,int8,5,F5-01,main,,20260905,1,machine,True,0.9,29,585.8,raw/Qwen3-8B-int8/F5-01__main.txt,0.2667,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1025,1042,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-14B-int8,int8,3,F3-01,main,,20260905,1,machine,True,0.8095,17,621.5,raw/Qwen3-14B-int8/F3-01__main.txt,0.1429,0.0,0.0,lines,,none,,,0,,True,,,,,,,,266,263,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-14B-int8,int8,3,F3-02,main,,20260905,0,machine,True,0.7647,17,620.0,raw/Qwen3-14B-int8/F3-02__main.txt,0.1765,0.0,0.0,lines,,none,,,0,,False,,,,,,,,260,262,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-8B-int8,int8,5,F5-02,main,,20260905,1,machine,True,0.9143,31,606.2,raw/Qwen3-8B-int8/F5-02__main.txt,0.3143,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1026,1045,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-8B-int8,int8,5,F5-03,main,,20260905,1,machine,True,0.8846,22,454.9,raw/Qwen3-8B-int8/F5-03__main.txt,0.3077,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1018,1028,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-8B-int8,int8,4,F4-04,main,,20260905,1,machine,True,0.961,68,1388.6,raw/Qwen3-8B-int8/F4-04__main.txt,0.4156,0.0,0.0,lines,就寝,fallback,,,0,,,,,,0.0,1.0,,,1075,1073,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-14B-int8,int8,2,F2-02,main,,20260905,1,machine,True,0.9074,48,1828.8,raw/Qwen3-14B-int8/F2-02__main.txt,0.4815,0.0,0.0,lines,断る,field,,,0,,True,True,False,,,,,,1136,1137,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:34,81,,
Qwen3-14B-int8,int8,2,F2-01,main,,20260905,0,machine,True,0.942,57,2194.5,raw/Qwen3-14B-int8/F2-01__main.txt,0.4928,0.0,0.0,lines,会話,field,,,0,,,False,True,,,,,,1253,1255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,2,F2-05,main,,20260905,1,machine,True,0.9245,48,1782.7,raw/Qwen3-14B-int8/F2-05__main.txt,0.3962,0.0,0.0,lines,断る,field,,,0,,True,True,True,,,,,,1148,1145,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,2,F2-04,main,,20260905,1,machine,True,0.9245,49,1811.3,raw/Qwen3-14B-int8/F2-04__main.txt,0.5283,0.0,0.0,lines,会話,field,,,0,,,False,False,False,,,,,1144,1146,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-8B-int8,int8,5,F5-04,main,,20260905,1,machine,True,0.8889,26,543.0,raw/Qwen3-8B-int8/F5-04__main.txt,0.2963,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1017,1028,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,2,F2-06,main,,20260905,0,machine,True,0.9111,42,1461.9,raw/Qwen3-14B-int8/F2-06__main.txt,0.4444,0.0,0.0,lines,会話,field,,,0,,,False,True,,,,,,1156,1154,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,2,F2-03,main,,20260905,0,machine,True,0.8868,52,1940.5,raw/Qwen3-14B-int8/F2-03__main.txt,0.4151,0.0,0.0,lines,会話,field,,,0,,False,False,True,,,,,,1167,1158,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,3,F3-04,main,,20260905,0,machine,True,0.913,22,797.0,raw/Qwen3-14B-int8/F3-04__main.txt,0.2609,0.0,0.0,lines,,none,,,0,,False,,,,,,,,268,265,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-8B-int8,int8,4,F4-03,main,,20260905,1,machine,True,0.97,87,2083.6,raw/Qwen3-8B-int8/F4-03__main.txt,0.39,0.0,0.0,lines,,none,,,0,,,,,,0.0,1.0,,,1080,1078,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,3,F3-03,main,,20260905,0,machine,True,0.8485,32,1141.6,raw/Qwen3-14B-int8/F3-03__main.txt,0.1818,0.0,0.0,lines,,none,,,0,,False,,,,,,,,251,248,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-8B-int8,int8,4,F4-01,main,,20260905,1,machine,True,0.9762,99,2508.3,raw/Qwen3-8B-int8/F4-01__main.txt,0.4762,0.0,0.0,lines,,none,,,0,,,,,,0.0,0.6667,,,1084,1085,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,3,F3-08,main,,20260905,1,machine,True,0.8333,18,748.6,raw/Qwen3-14B-int8/F3-08__main.txt,0.1667,0.0,0.0,lines,,none,,,0,,True,,,,,,,,251,250,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,3,F3-05,main,,20260905,0,machine,True,0.8333,23,908.1,raw/Qwen3-14B-int8/F3-05__main.txt,0.3333,0.0,0.0,lines,,none,,,0,,False,,,,,,,,263,262,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:35,81,,
Qwen3-14B-int8,int8,3,F3-09,main,,20260905,0,machine,True,0.7826,21,921.6,raw/Qwen3-14B-int8/F3-09__main.txt,0.2609,0.0,0.0,lines,,none,,,0,,False,,,,,,,,244,242,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-14B-int8,int8,3,F3-06,main,,20260905,1,machine,True,0.8333,23,1000.1,raw/Qwen3-14B-int8/F3-06__main.txt,0.3333,0.0,0.0,lines,,none,,,0,,True,,,,,,,,262,259,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,6,F6-01,full,plain,20260905,1,machine,True,0.7097,29,1096.6,raw/Qwen3-8B-int8/F6-01__full.txt,0.2581,0.0323,0.0,lines,購入,field,C-0117,,0,,,,,,,,,,3128,3111,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-14B-int8,int8,3,F3-10,main,,20260905,0,machine,True,0.8333,23,1041.3,raw/Qwen3-14B-int8/F3-10__main.txt,0.3333,0.0,0.0,lines,,none,,,0,,False,,,,,,,,261,255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-14B-int8,int8,3,F3-07,main,,20260905,0,machine,True,0.7826,27,1197.9,raw/Qwen3-14B-int8/F3-07__main.txt,0.2174,0.0,0.0,lines,,none,,,0,,False,,,,,,,,252,246,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,4,F4-05,main,,20260905,1,machine,True,0.9669,104,2591.5,raw/Qwen3-8B-int8/F4-05__main.txt,0.4967,0.0,0.0,lines,,none,,,0,,,,,,0.0,1.0,,,989,1000,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,6,F6-01,v0,plain,20260905,1,machine,True,0.7097,28,798.1,raw/Qwen3-8B-int8/F6-01__v0.txt,0.2581,0.0323,0.0,lines,移動,field,C-0117,,0,,,,,,,,,,1858,1871,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,5,F5-06,main,,20260905,0,machine,True,0.8776,51,1892.5,raw/Qwen3-8B-int8/F5-06__main.txt,0.2041,0.0,0.0,lines,購入,fallback,,許可,0,,True,,,,,,False,False,1027,1032,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,6,F6-01,v1,plain,20260905,1,machine,True,0.697,34,1146.3,raw/Qwen3-8B-int8/F6-01__v1.txt,0.2121,0.0606,0.0,lines,移動,field,C-0116,,0,,,,,,,,,,1326,1322,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:36,81,,
Qwen3-8B-int8,int8,4,F4-02,main,,20260905,1,machine,True,0.9514,138,3973.4,raw/Qwen3-8B-int8/F4-02__main.txt,0.5243,0.0108,0.0,lines,購入,fallback,,,0,,,,,,0.0,0.6667,,,1082,1075,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-14B-int8,int8,5,F5-02,main,,20260905,1,machine,True,0.9167,30,998.4,raw/Qwen3-14B-int8/F5-02__main.txt,0.3333,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1026,1045,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-14B-int8,int8,5,F5-01,main,,20260905,1,machine,True,0.9268,33,1119.5,raw/Qwen3-14B-int8/F5-01__main.txt,0.3659,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1025,1042,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-8B-int8,int8,4,F4-06,main,,20260905,1,machine,True,0.9441,122,3631.2,raw/Qwen3-8B-int8/F4-06__main.txt,0.3776,0.007,0.0,lines,移動,fallback,,,0,,,,,,0.0,0.6667,,,1082,1078,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-8B-int8,int8,6,F6-02,full,plain,20260905,1,machine,True,0.9091,31,1601.3,raw/Qwen3-8B-int8/F6-02__full.txt,0.3333,0.0,0.0,lines,会話,field,なし,,0,,,,,,,,,,3129,3115,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-8B-int8,int8,6,F6-02,v1,plain,20260905,1,machine,True,0.7188,29,1511.0,raw/Qwen3-8B-int8/F6-02__v1.txt,0.375,0.0312,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1324,1322,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-8B-int8,int8,6,F6-02,v0,plain,20260905,1,machine,True,0.9032,30,1531.5,raw/Qwen3-8B-int8/F6-02__v0.txt,0.3548,0.0,0.0,lines,購入,field,なし,,0,,,,,,,,,,1863,1880,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:37,81,,
Qwen3-14B-int8,int8,5,F5-03,main,,20260905,1,machine,True,0.9118,27,900.9,raw/Qwen3-14B-int8/F5-03__main.txt,0.4118,0.0,0.0,lines,購入,fallback,,不許可,0,,True,,,,,,True,True,1018,1028,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-14B-int8,int8,4,F4-05,main,,20260905,1,machine,True,0.9659,64,2126.8,raw/Qwen3-14B-int8/F4-05__main.txt,0.4545,0.0,0.0,lines,,none,,,0,,,,,,0.0,1.0,,,989,1000,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-8B-int8,int8,6,F6-03,full,plain,20260905,1,machine,True,0.7097,30,1562.6,raw/Qwen3-8B-int8/F6-03__full.txt,0.2581,0.0323,0.0,lines,移動,field,C-0043,,0,,,,,,,,,,3120,3102,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-14B-int8,int8,5,F5-04,main,,20260905,1,machine,True,0.9118,33,1110.7,raw/Qwen3-14B-int8/F5-04__main.txt,0.3235,0.0,0.0,lines,,none,,不許可,0,,True,,,,,,True,True,1017,1028,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-8B-int8,int8,6,F6-03,v0,plain,20260905,1,machine,True,0.7097,33,1703.2,raw/Qwen3-8B-int8/F6-03__v0.txt,0.1935,0.0323,0.0,lines,移動,field,C-0042,,0,,,,,,,,,,1855,1866,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-8B-int8,int8,6,F6-03,v1,plain,20260905,1,machine,True,0.7,31,1420.6,raw/Qwen3-8B-int8/F6-03__v1.txt,0.2333,0.0333,0.0,lines,移動,field,C-0042,,0,,,,,,,,,,1324,1321,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-8B-int8,int8,6,F6-04,full,plain,20260905,1,machine,True,0.7097,31,1573.4,raw/Qwen3-8B-int8/F6-04__full.txt,0.2581,0.0323,0.0,lines,購入,field,C-0210,,0,,,,,,,,,,3122,3100,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:38,81,,
Qwen3-8B-int8,int8,5,F5-05,main,,20260905,0,machine,True,0.6562,99,4247.1,raw/Qwen3-8B-int8/F5-05__main.txt,0.1354,0.0729,0.0,lines,,none,,許可,0,,True,,,,,,False,False,1028,1032,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-14B-int8,int8,4,F4-04,main,,20260905,1,machine,True,0.9694,81,3331.1,raw/Qwen3-14B-int8/F4-04__main.txt,0.4082,0.0,0.0,lines,就寝,fallback,,,0,,,,,,0.0,1.0,,,1075,1073,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-14B-int8,int8,4,F4-01,main,,20260905,1,machine,True,0.9762,98,3934.8,raw/Qwen3-14B-int8/F4-01__main.txt,0.4444,0.0,0.0,lines,移動,fallback,,,0,,,,,,0.0,1.0,,,1084,1085,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-14B-int8,int8,4,F4-02,main,,20260905,1,machine,True,0.9744,89,3619.0,raw/Qwen3-14B-int8/F4-02__main.txt,0.453,0.0,0.0,lines,就寝,fallback,,,0,,,,,,0.0,1.0,,,1082,1075,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-8B-int8,int8,6,F6-04,v1,plain,20260905,1,machine,True,0.6786,29,1506.1,raw/Qwen3-8B-int8/F6-04__v1.txt,0.2143,0.0357,0.0,lines,待機,field,C-0210,,0,,,,,,,,,,1327,1320,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-8B-int8,int8,6,F6-05,full,plain,20260905,1,machine,True,0.6897,29,1486.5,raw/Qwen3-8B-int8/F6-05__full.txt,0.1724,0.0345,0.0,lines,移動,field,C-0003,,0,,,,,,,,,,3115,3096,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-8B-int8,int8,6,F6-04,v0,plain,20260905,1,machine,True,0.7353,36,1935.4,raw/Qwen3-8B-int8/F6-04__v0.txt,0.2059,0.0294,0.0,lines,購入,field,C-0210,,0,,,,,,,,,,1857,1864,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-8B-int8,int8,6,F6-05,v1,plain,20260905,1,machine,True,0.88,23,1241.0,raw/Qwen3-8B-int8/F6-05__v1.txt,0.44,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1318,1318,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-8B-int8,int8,6,F6-05,v0,plain,20260905,1,machine,True,0.7188,30,1538.6,raw/Qwen3-8B-int8/F6-05__v0.txt,0.3125,0.0312,0.0,lines,移動,field,C-0003,,0,,,,,,,,,,1850,1860,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:39,81,,
Qwen3-14B-int8,int8,4,F4-06,main,,20260905,1,machine,True,0.9636,92,4210.1,raw/Qwen3-14B-int8/F4-06__main.txt,0.4182,0.0091,0.0,lines,購入,fallback,,,0,,,,,,0.0,0.6667,,,1082,1078,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:40,81,,
